,Age,Income,No of Years,FreqBra,FreqATM,FreqPOS,FreqInt,cust_care_score,complaints_score,branches_score,exec_eff_score,prod_score,val_for_money_score,cluster,Age_bin,Income_bin,Bank,Gender,Most frequently used Bank,Location,Education,Employment Category,Changeplan,FromBank,ToBank
17325,25.5,25000,10,2,6,0,0,43,20,57,60,27,10,3,21-30,"Below N50,000",Bank I,Female,Bank I,Kaduna,OND/HND,Self Employed,No,,
17326,25.5,25000,2,0.5,2,0,0,55,31,60,32,17,12,3,21-30,"Below N50,000",Bank A,Male,Bank A,Kaduna,Bachelor's Decree,Student,No,,
17327,19,25000,4,2,2,0,0.5,12,8,19,30,19,21,0,18-20,"Below N50,000",Bank L,Male,Bank L,Kaduna,Secondary school leaving certificate,Student,No,,
17328,33,75000,8,2,0.5,0,0.5,76,48,122,60,23,20,3,31-35,"N50,000 - N100,000",Bank A,Male,Bank A,Kaduna,Secondary school leaving certificate,Self Employed,No,,
17338,25.5,25000,6,0.5,30,0,0,8,19,24,3,17,8,0,21-30,"Below N50,000",Bank J,Male,Bank J,Kaduna,Bachelor's Decree,Student,No,,
17339,25.5,25000,4,0.5,6,0.5,0.5,48,16,46,24,12,5,0,21-30,"Below N50,000",Bank J,Male,Bank J,Kaduna,Secondary school leaving certificate,Student,No,,
17340,25.5,75000,6,2,6,6,30,10,-6,4,27,25,8,1,21-30,"N50,000 - N100,000",Bank J,Male,Bank J,Kaduna,Bachelor's Decree,Student,Yes,Bank B,Bank G
17341,25.5,75000,3,2,6,6,30,3,-11,27,19,17,16,1,21-30,"N50,000 - N100,000",Bank C,Male,Bank J,Kaduna,Bachelor's Decree,Student,Yes,Bank B,Bank G
17342,25.5,75000,2,2,6,6,30,12,-8,13,19,25,16,1,21-30,"N50,000 - N100,000",Bank A,Male,Bank J,Kaduna,Bachelor's Decree,Student,Yes,Bank B,Bank G
17343,25.5,75000,15,2,6,6,30,2,-8,15,25,25,16,1,21-30,"N50,000 - N100,000",Bank B,Male,Bank J,Kaduna,Bachelor's Decree,Student,Yes,Bank B,Bank G
17350,50.5,25000,10,0.5,6,0,2,52,51,135,33,27,12,3,41-60,"Below N50,000",Bank C,Male,Bank C,Kaduna,Master's Degree,Civil/Public Servant,No,,
17351,25.5,25000,5,0.5,2,0,0,27,-20,59,20,17,20,0,21-30,"Below N50,000",Bank B,Male,Bank B,Kaduna,OND/HND,Self Employed,No,,
17352,33,75000,3,2,6,0,0,24,3,37,0,4,3,0,31-35,"N50,000 - N100,000",Bank L,Male,Bank L,Kaduna,OND/HND,Self Employed,Yes,Bank B,
17357,25.5,25000,3,0.5,6,0,0,1,5,-120,-11,-6,0,0,21-30,"Below N50,000",Bank I,Female,Bank I,Kaduna,OND/HND,Civil/Public Servant,No,,
17358,38,25000,2,2,2,0,0,1,-11,40,-21,-40,-9,0,36-40,"Below N50,000",Bank L,Male,Bank K,Kaduna,Secondary school leaving certificate,Civil/Public Servant,No,,
17359,38,25000,3,2,2,0,0,13,1,50,-2,-30,-9,0,36-40,"Below N50,000",Bank K,Male,Bank K,Kaduna,Secondary school leaving certificate,Civil/Public Servant,No,,
17360,25.5,25000,8,0.5,2,0,0,25,19,26,15,19,-6,0,21-30,"Below N50,000",Bank E,Male,Bank E,Kaduna,OND/HND,Civil/Public Servant,No,,
17361,38,25000,2,2,2,0,0,1,-11,40,-21,-40,-9,0,36-40,"Below N50,000",Bank L,Male,Bank K,Kaduna,Secondary school leaving certificate,Civil/Public Servant,No,,
17362,38,25000,3,2,2,0,0,13,1,50,-2,-30,-9,0,36-40,"Below N50,000",Bank K,Male,Bank K,Kaduna,Secondary school leaving certificate,Civil/Public Servant,No,,
17363,25.5,25000,5,0.5,2,0,0,33,21,74,22,22,6,0,21-30,"Below N50,000",Bank B,Male,Bank B,Kaduna,OND/HND,Self Employed,No,,
17366,33,25000,3,2,2,0,0,31,27,57,18,32,8,3,31-35,"Below N50,000",Bank H,Male,Bank H,Kaduna,OND/HND,Self Employed,No,,
17371,33,75000,16,6,30,0.5,6,85,13,80,36,-1,4,2,31-35,"N50,000 - N100,000",Bank H,Male,Bank H,Kaduna,Bachelor's Decree,Self Employed,No,,
17372,33,75000,5,6,30,0.5,6,69,18,67,36,-1,4,0,31-35,"N50,000 - N100,000",Bank C,Male,Bank H,Kaduna,Bachelor's Decree,Self Employed,No,,
17373,33,75000,3,6,30,0.5,6,79,23,57,36,-1,4,3,31-35,"N50,000 - N100,000",Bank A,Male,Bank H,Kaduna,Bachelor's Decree,Self Employed,No,,
17374,33,75000,16,6,30,0.5,6,68,13,75,36,-1,4,2,31-35,"N50,000 - N100,000",Bank J,Male,Bank H,Kaduna,Bachelor's Decree,Self Employed,No,,
17376,33,25000,1,2,2,0.5,0,30,20,134,20,30,10,3,31-35,"Below N50,000",Bank C,Male,Bank C,Kaduna,OND/HND,Self Employed,No,,
17381,38,25000,5,0.5,0.5,0,0,42,18,50,18,32,8,0,36-40,"Below N50,000",Bank B,Male,Bank B,Kaduna,Bachelor's Decree,Private Sector Employee,No,,
17382,50.5,25000,10,0.5,2,0,0,69,51,108,40,18,10,3,41-60,"Below N50,000",Bank G,Male,Bank G,Kaduna,OND/HND,Self Employed,No,,
17383,25.5,25000,6,0.5,0.5,0,0,71,14,41,42,28,14,3,21-30,"Below N50,000",Bank B,Male,Bank B,Kaduna,OND/HND,Student,No,,
17384,25.5,25000,4,0.5,0.5,0,0,71,28,85,42,21,14,3,21-30,"Below N50,000",Bank Q,Male,Bank B,Kaduna,OND/HND,Student,No,,
17385,38,25000,5,2,2,0,0,52,42,110,28,42,14,3,36-40,"Below N50,000",Bank L,Female,Bank L,Kaduna,OND/HND,Private Sector Employee,No,,
17386,50.5,25000,5,0.5,2,0,0.5,30,10,57,20,20,10,0,41-60,"Below N50,000",Bank H,Male,Bank H,Kaduna,OND/HND,Civil/Public Servant,No,,
17387,25.5,25000,2,0.5,2,0,0,40,20,60,20,20,10,0,21-30,"Below N50,000",Bank Q,Male,Bank Q,Kaduna,Secondary school leaving certificate,Student,No,,
17391,33,25000,4,2,2,0.5,0,56,19,20,20,20,9,0,31-35,"Below N50,000",Bank G,Female,Bank G,Kaduna,OND/HND,Student,No,,
17396,25.5,75000,10,2,2,0,0,28,-10,63,14,0,7,0,21-30,"N50,000 - N100,000",Bank Q,Male,Bank Q,Kaduna,OND/HND,Private Sector Employee,No,,
17397,33,25000,5,0.5,0.5,0,0,65,28,57,22,18,18,3,31-35,"Below N50,000",Bank B,Male,Bank B,Kaduna,OND/HND,Private Sector Employee,No,,
17398,33,25000,3,2,2,0,0,40,0,40,20,30,10,0,31-35,"Below N50,000",Bank C,Male,Bank C,Kaduna,OND/HND,Unemployed,No,,
17399,33,25000,5,2,2,0,0,40,20,20,20,30,10,0,31-35,"Below N50,000",Bank M,Male,Bank C,Kaduna,OND/HND,Unemployed,No,,
17400,25.5,25000,7,6,6,0,0,40,20,0,40,40,20,3,21-30,"Below N50,000",Bank B,Male,Bank B,Kaduna,OND/HND,Civil/Public Servant,No,,
17401,25.5,25000,1,0.5,0.5,0,0,5,14,44,16,32,8,0,21-30,"Below N50,000",Bank Q,Male,Bank Q,Kaduna,Secondary school leaving certificate,Student,No,,
17402,50.5,25000,7,2,6,0,0,32,20,55,60,60,27,3,41-60,"Below N50,000",Bank B,Male,Bank B,Kaduna,OND/HND,Civil/Public Servant,No,,
17403,25.5,25000,7,2,2,0,0,21,17,-5,60,30,30,3,21-30,"Below N50,000",Bank B,Male,Bank B,Kaduna,OND/HND,Private Sector Employee,No,,
17404,25.5,25000,2,0.5,6,0,0,25,18,55,20,20,10,0,21-30,"Below N50,000",Bank D,Female,Bank D,Kaduna,Bachelor's Decree,Student,No,,
17405,33,25000,13,0.5,2,2,0.5,26,-16,2,-20,20,-8,0,31-35,"Below N50,000",Bank B,Male,Bank B,Kaduna,Bachelor's Decree,Civil/Public Servant,No,,
17406,33,25000,8,0.5,2,0,0,68,19,15,18,16,8,0,31-35,"Below N50,000",Bank N,Male,Bank N,Kaduna,OND/HND,Unemployed,No,,
17407,50.5,25000,18,2,2,0,0,26,-1,14,18,16,9,2,41-60,"Below N50,000",Bank B,Male,Bank B,Kaduna,OND/HND,Civil/Public Servant,No,,
17408,25.5,25000,3,2,2,0,0,77,46,104,50,24,27,3,21-30,"Below N50,000",Bank Q,Male,Bank Q,Kaduna,OND/HND,Private Sector Employee,No,,
17409,38,25000,13,2,2,0.5,2,20,-10,-26,10,18,0,0,36-40,"Below N50,000",Bank B,Male,Bank B,Kaduna,OND/HND,Civil/Public Servant,No,,
17410,19,25000,1,0.5,0.5,0,0,10,0,90,20,20,10,0,18-20,"Below N50,000",Bank Q,Male,Bank Q,Kaduna,Secondary school leaving certificate,Student,No,,
17413,25.5,25000,2,2,2,0,0,31,-3,13,-3,-6,-3,0,21-30,"Below N50,000",Bank B,Male,Bank B,Kaduna,Bachelor's Decree,Unemployed,No,,
17416,25.5,25000,3,0.5,2,0,0,20,20,57,20,20,10,0,21-30,"Below N50,000",Bank H,Female,Bank H,Kaduna,Bachelor's Decree,Student,No,,
17417,19,25000,2,0.5,0.5,0,0,27,16,54,34,22,12,0,18-20,"Below N50,000",Bank D,Male,Bank N,Kaduna,Secondary school leaving certificate,Student,No,,
17418,33,75000,6,2,2,0,0,90,20,83,30,50,10,3,31-35,"N50,000 - N100,000",Bank B,Female,Bank B,Kaduna,OND/HND,Civil/Public Servant,No,,
17419,33,75000,3,2,2,0,0,80,30,65,30,40,10,3,31-35,"N50,000 - N100,000",Bank K,Female,Bank B,Kaduna,OND/HND,Civil/Public Servant,No,,
17421,25.5,25000,3,6,6,0,0,-80,20,0,50,30,0,0,21-30,"Below N50,000",Bank D,Male,Bank D,Kaduna,Secondary school leaving certificate,Student,No,,
17422,25.5,25000,4,6,30,0.5,0.5,7,-36,15,-5,-15,6,0,21-30,"Below N50,000",Bank N,Male,Bank N,Kaduna,Bachelor's Decree,Student,No,,
17423,25.5,25000,4,2,2,0.5,0.5,19,17,28,6,7,0,0,21-30,"Below N50,000",Bank D,Male,Bank D,Kaduna,OND/HND,Student,No,,
17424,25.5,75000,1,0.5,2,0,0,17,21,85,42,33,12,3,21-30,"N50,000 - N100,000",Bank B,Male,Bank B,Kaduna,Secondary school leaving certificate,Self Employed,No,,
17426,38,25000,8,2,6,0,0,30,20,90,60,40,20,3,36-40,"Below N50,000",Bank B,Male,Bank B,Kaduna,OND/HND,Civil/Public Servant,No,,
17427,38,25000,6,2,6,0,0,10,0,110,40,40,20,3,36-40,"Below N50,000",Bank Q,Male,Bank B,Kaduna,OND/HND,Civil/Public Servant,No,,
17430,38,25000,1,2,2,0,0,80,20,80,40,20,30,3,36-40,"Below N50,000",Bank H,Female,Bank H,Kaduna,OND/HND,Civil/Public Servant,No,,
17431,38,25000,5,2,2,0,0,80,10,60,40,20,30,3,36-40,"Below N50,000",Bank B,Female,Bank H,Kaduna,OND/HND,Civil/Public Servant,No,,
17432,38,25000,2,2,2,0,0,90,30,80,40,20,30,3,36-40,"Below N50,000",Bank C,Female,Bank H,Kaduna,OND/HND,Civil/Public Servant,No,,
17433,25.5,25000,2,0.5,0.5,0,0,19,16,39,16,16,8,0,21-30,"Below N50,000",Bank Q,Male,Bank Q,Kaduna,Secondary school leaving certificate,Unemployed,No,,
17434,25.5,25000,1,2,2,0,0,27,36,54,18,18,10,0,21-30,"Below N50,000",Bank L,Female,Bank L,Kaduna,Secondary school leaving certificate,Student,No,,
17435,33,25000,4,2,2,0.5,0,64,17,46,16,51,24,3,31-35,"Below N50,000",Bank J,Female,Bank J,Kaduna,OND/HND,Private Sector Employee,No,,
17436,25.5,25000,3,2,2,6,0,60,20,70,40,60,20,3,21-30,"Below N50,000",Bank B,Female,Bank B,Kaduna,OND/HND,No Response,No,,
17439,33,25000,3,0.5,2,0,2,38,20,62,13,18,10,0,31-35,"Below N50,000",Bank D,Male,Bank D,Kaduna,OND/HND,Private Sector Employee,No,,
17449,33,25000,4,0.5,2,0,0,70,20,80,12,16,9,3,31-35,"Below N50,000",Bank Q,Female,Bank Q,Kaduna,OND/HND,Private Sector Employee,No,,
17451,25.5,25000,3,2,6,0,0,46,36,81,16,15,6,3,21-30,"Below N50,000",Bank C,Male,Bank C,Kaduna,Bachelor's Decree,Student,No,,
17452,33,25000,3,2,2,0.5,0,80,20,50,40,50,30,3,31-35,"Below N50,000",Bank Q,Male,Bank Q,Kaduna,OND/HND,Private Sector Employee,No,,
17453,25.5,25000,2,2,2,0,0,32,18,34,20,20,10,0,21-30,"Below N50,000",Bank B,Male,Bank B,Kaduna,OND/HND,Private Sector Employee,No,,
17454,19,25000,2,2,30,0.5,0,47,28,72,18,36,20,3,18-20,"Below N50,000",Bank B,Female,Bank B,Kaduna,Secondary school leaving certificate,Unemployed,No,,
17455,25.5,25000,2,0.5,0.5,0,0,7,14,32,16,16,8,0,21-30,"Below N50,000",Bank J,Female,Bank J,Kaduna,Secondary school leaving certificate,Student,No,,
17457,33,75000,10,2,2,0,0,117,60,145,60,60,30,3,31-35,"N50,000 - N100,000",Bank D,Male,Bank D,Kaduna,OND/HND,Civil/Public Servant,No,,
17466,25.5,25000,2,2,2,0,0,53,20,54,50,30,10,3,21-30,"Below N50,000",Bank C,Male,Bank C,Kaduna,Bachelor's Decree,Unemployed,No,,
17467,25.5,25000,5,2,2,0,0,28,28,60,20,50,20,3,21-30,"Below N50,000",Bank Q,Male,Bank Q,Kaduna,OND/HND,Private Sector Employee,No,,
17468,25.5,25000,4,2,2,0,0,37,37,29,20,40,20,3,21-30,"Below N50,000",Bank A,Male,Bank Q,Kaduna,OND/HND,Private Sector Employee,No,,
17469,25.5,25000,1,2,2,0,0,37,37,24,20,40,20,3,21-30,"Below N50,000",Bank N,Male,Bank Q,Kaduna,OND/HND,Private Sector Employee,No,,
17471,25.5,25000,2,0.5,2,0,0,40,20,40,20,20,10,0,21-30,"Below N50,000",Bank H,Male,Bank H,Kaduna,OND/HND,Student,No,,
17473,33,25000,5,2,2,0,0,80,40,107,20,40,10,3,31-35,"Below N50,000",Bank E,Male,Bank E,Kaduna,Bachelor's Decree,Civil/Public Servant,No,,
17474,25.5,25000,2,0.5,2,0,0,40,17,58,32,14,8,0,21-30,"Below N50,000",Bank J,Female,Bank J,Kaduna,Bachelor's Decree,Student,No,,
17476,38,75000,4,2,2,0,2,58,30,39,32,16,18,3,36-40,"N50,000 - N100,000",Bank H,Male,Bank C,Kaduna,Bachelor's Decree,Civil/Public Servant,No,,
17477,38,75000,5,2,2,0,2,68,30,38,32,16,18,3,36-40,"N50,000 - N100,000",Bank B,Male,Bank C,Kaduna,Bachelor's Decree,Civil/Public Servant,No,,
17478,38,75000,1,2,2,0,2,68,30,62,48,16,18,3,36-40,"N50,000 - N100,000",Bank C,Male,Bank C,Kaduna,Bachelor's Decree,Civil/Public Servant,No,,
17479,25.5,25000,4,2,2,2,0,30,20,58,20,20,10,0,21-30,"Below N50,000",Bank B,Male,Bank B,Kaduna,OND/HND,Student,No,,
17480,33,25000,3,2,2,0,0,40,40,64,36,16,9,3,31-35,"Below N50,000",Bank I,Female,Bank I,Kaduna,OND/HND,Private Sector Employee,No,,
17482,25.5,25000,5,2,6,2,0,50,29,41,8,26,10,0,21-30,"Below N50,000",Bank A,Female,Bank A,Kaduna,No Response,Civil/Public Servant,Yes,Bank H,
17483,25.5,25000,5,2,6,2,0,36,29,21,8,26,10,0,21-30,"Below N50,000",Bank D,Female,Bank A,Kaduna,No Response,Civil/Public Servant,Yes,Bank H,
17484,25.5,25000,1,2,6,2,0,-43,-1,12,-16,-20,10,0,21-30,"Below N50,000",Bank H,Female,Bank A,Kaduna,No Response,Civil/Public Servant,Yes,Bank H,
17486,25.5,25000,1,0.5,2,0.5,0.5,100,60,180,60,60,30,3,21-30,"Below N50,000",Bank K,Female,Bank D,Kaduna,Bachelor's Decree,Civil/Public Servant,No,,
17487,25.5,25000,6,0.5,2,0.5,0.5,10,10,-100,10,0,-10,0,21-30,"Below N50,000",Bank L,Female,Bank D,Kaduna,Bachelor's Decree,Civil/Public Servant,No,,
17490,33,25000,4,0.5,2,0,0,9,0,30,18,16,9,0,31-35,"Below N50,000",Bank B,Male,Bank B,Kaduna,OND/HND,Unemployed,Yes,Bank B,Bank D
17492,38,75000,6,2,2,0,0,64,16,126,16,16,8,3,36-40,"N50,000 - N100,000",Bank D,Female,Bank D,Kaduna,Bachelor's Decree,Civil/Public Servant,No,,
17495,25.5,25000,3,0.5,2,0,0,52,42,126,14,16,7,3,21-30,"Below N50,000",Bank B,Female,Bank B,Kaduna,OND/HND,Student,No,,
17497,25.5,25000,11,2,6,0,6,44,20,-30,40,30,0,0,21-30,"Below N50,000",Bank C,Male,Bank C,Kaduna,Bachelor's Decree,Civil/Public Servant,No,,
17498,25.5,25000,2,2,6,0,6,-25,20,-60,-10,-10,0,0,21-30,"Below N50,000",Bank Q,Male,Bank C,Kaduna,Bachelor's Decree,Civil/Public Servant,No,,
17499,25.5,25000,4,2,6,0,6,-12,20,-80,-10,0,0,0,21-30,"Below N50,000",Bank I,Male,Bank C,Kaduna,Bachelor's Decree,Civil/Public Servant,No,,
17500,25.5,25000,11,2,6,0,6,54,20,-10,50,30,0,0,21-30,"Below N50,000",Bank N,Male,Bank C,Kaduna,Bachelor's Decree,Civil/Public Servant,No,,
17501,33,25000,4,0.5,2,0,0,42,20,47,20,20,10,0,31-35,"Below N50,000",Bank P,Male,Bank E,Kaduna,Bachelor's Decree,Civil/Public Servant,No,,
17502,33,25000,2,0.5,2,0,0,42,20,57,20,30,10,3,31-35,"Below N50,000",Bank E,Male,Bank E,Kaduna,Bachelor's Decree,Civil/Public Servant,No,,
17503,25.5,25000,1,0.5,0.5,0,0,60,20,93,60,40,10,3,21-30,"Below N50,000",Bank C,Male,Bank C,Kaduna,Secondary school leaving certificate,Student,No,,
17506,25.5,25000,3,6,6,2,0.5,66,50,68,17,34,8,3,21-30,"Below N50,000",Bank D,Female,,Kaduna,Bachelor's Decree,Unemployed,Yes,Bank E,Bank N
17507,25.5,25000,4,6,6,2,0.5,66,30,60,17,25,8,3,21-30,"Below N50,000",Bank C,Female,,Kaduna,Bachelor's Decree,Unemployed,Yes,Bank E,Bank N
17508,25.5,25000,1,6,6,2,0.5,-28,-10,36,26,25,8,0,21-30,"Below N50,000",Bank E,Female,,Kaduna,Bachelor's Decree,Unemployed,Yes,Bank E,Bank N
17509,33,25000,13,6,6,0,6,8,20,54,18,20,10,0,31-35,"Below N50,000",Bank B,Male,Bank B,Kaduna,Bachelor's Decree,Student,No,,
17510,25.5,25000,7,0.5,0.5,0,0,-15,-20,-20,20,20,10,0,21-30,"Below N50,000",Bank B,Male,Bank B,Kaduna,OND/HND,Private Sector Employee,No,,
17511,25.5,25000,2,0.5,2,0,0,6,0,21,40,20,10,0,21-30,"Below N50,000",Bank H,Female,Bank H,Kaduna,Secondary school leaving certificate,Student,No,,
17513,25.5,25000,2,2,2,0,0,62,17,63,16,25,10,3,21-30,"Below N50,000",Bank D,Male,Bank D,Kaduna,OND/HND,Self Employed,No,,
17514,25.5,25000,5,2,2,0,0,62,17,44,0,25,10,0,21-30,"Below N50,000",Bank H,Male,Bank D,Kaduna,OND/HND,Self Employed,No,,
17517,25.5,25000,5,0.5,0.5,0,0,30,20,70,15,20,10,0,21-30,"Below N50,000",Bank B,Female,Bank B,Kaduna,OND/HND,Private Sector Employee,No,,
17521,25.5,25000,2,0.5,2,0,0,40,20,60,20,20,10,0,21-30,"Below N50,000",Bank Q,Male,Bank Q,Kaduna,Secondary school leaving certificate,Student,No,,
17524,25.5,25000,3,0.5,2,0.5,0,31,40,46,16,16,8,0,21-30,"Below N50,000",Bank C,Male,Bank C,Kaduna,Secondary school leaving certificate,Student,No,,
17525,38,25000,2,2,2,0,0,0,10,33,10,20,20,0,36-40,"Below N50,000",Bank L,Male,Bank B,Kaduna,OND/HND,Self Employed,No,,
17526,38,25000,5,2,2,0,0,47,20,33,10,20,20,0,36-40,"Below N50,000",Bank B,Male,Bank B,Kaduna,OND/HND,Self Employed,No,,
17527,38,25000,3,2,2,0,0,40,20,13,20,20,20,0,36-40,"Below N50,000",Bank Q,Male,Bank B,Kaduna,OND/HND,Self Employed,No,,
17528,25.5,25000,5,2,2,0,0,25,33,60,5,8,4,0,21-30,"Below N50,000",Bank B,Male,Bank B,Kaduna,OND/HND,Private Sector Employee,No,,
17530,25.5,25000,2,0.5,2,0,0,9,19,70,40,20,10,0,21-30,"Below N50,000",Bank J,Female,Bank J,Kaduna,Bachelor's Decree,Student,No,,
17532,33,25000,8,2,2,0,0,-49,-40,-46,-18,20,0,0,31-35,"Below N50,000",Bank B,Male,Bank B,Kaduna,OND/HND,Private Sector Employee,No,,
17533,33,25000,4,2,2,0,0,25,17,46,24,16,8,0,31-35,"Below N50,000",Bank M,Male,Bank M,Kaduna,OND/HND,Unemployed,No,,
17535,25.5,25000,1,0.5,2,0,0,39,20,88,20,20,20,3,21-30,"Below N50,000",Bank B,Female,Bank B,Kaduna,OND/HND,Student,No,,
17540,25.5,25000,5,0.5,6,0,0,10,33,36,10,24,5,0,21-30,"Below N50,000",Bank B,Male,Bank B,Kaduna,Secondary school leaving certificate,Student,No,,
17544,25.5,25000,3,0.5,2,0.5,0,49,0,37,18,18,9,0,21-30,"Below N50,000",Bank C,Male,Bank C,Kaduna,Bachelor's Decree,Student,No,,
17545,25.5,25000,6,2,6,0.5,6,-10,-7,-21,10,-8,0,0,21-30,"Below N50,000",Bank B,Female,Bank B,Kaduna,Bachelor's Decree,Civil/Public Servant,No,,
17546,25.5,25000,6,2,6,0.5,6,3,-7,29,10,0,0,0,21-30,"Below N50,000",Bank C,Female,Bank B,Kaduna,Bachelor's Decree,Civil/Public Servant,No,,
17547,25.5,25000,3,2,2,0,0,66,25,48,20,40,10,3,21-30,"Below N50,000",Bank A,Male,Bank I,Kaduna,Bachelor's Decree,Private Sector Employee,Yes,Bank I,Bank B
17548,25.5,25000,1,2,2,0,0,50,25,40,20,40,10,3,21-30,"Below N50,000",Bank I,Male,Bank I,Kaduna,Bachelor's Decree,Private Sector Employee,Yes,Bank I,Bank B
17556,25.5,75000,17,30,0.5,6,30,30,10,60,20,30,10,1,21-30,"N50,000 - N100,000",Bank H,Female,Bank C,Kaduna,Bachelor's Decree,Student,No,,
17559,25.5,75000,3,2,6,0,0,44,16,71,11,28,9,0,21-30,"N50,000 - N100,000",Bank D,Female,Bank D,Kaduna,OND/HND,Civil/Public Servant,No,,
17560,25.5,75000,7,2,6,0,0,49,16,49,11,28,9,0,21-30,"N50,000 - N100,000",Bank B,Female,Bank D,Kaduna,OND/HND,Civil/Public Servant,No,,
17561,25.5,25000,4,2,6,0,0,31,14,61,8,8,4,0,21-30,"Below N50,000",Bank B,Female,Bank C,Kaduna,Bachelor's Decree,Self Employed,No,,
17562,25.5,25000,9,2,6,0,0,37,14,77,8,8,4,0,21-30,"Below N50,000",Bank C,Female,Bank C,Kaduna,Bachelor's Decree,Self Employed,No,,
17563,25.5,25000,4,0.5,6,0,0,40,20,60,20,20,9,0,21-30,"Below N50,000",Bank D,Female,Bank D,Kaduna,Bachelor's Decree,Student,No,,
17564,25.5,25000,4,0.5,6,0,0,40,20,60,20,20,9,0,21-30,"Below N50,000",Bank C,Female,Bank D,Kaduna,Bachelor's Decree,Student,No,,
17572,50.5,75000,2,0.5,2,0,0,60,30,100,30,20,10,3,41-60,"N50,000 - N100,000",Bank G,Male,Bank G,Kaduna,Bachelor's Decree,Civil/Public Servant,No,,
17573,50.5,75000,3,0.5,2,0,0,60,30,90,30,20,10,3,41-60,"N50,000 - N100,000",Bank C,Male,Bank G,Kaduna,Bachelor's Decree,Civil/Public Servant,No,,
17574,25.5,25000,3,2,2,0,0,17,17,29,9,17,9,0,21-30,"Below N50,000",Bank M,Female,Bank M,Kaduna,Bachelor's Decree,Student,No,,
17575,38,25000,4,2,6,0,0,40,20,50,20,20,20,3,36-40,"Below N50,000",Bank H,Male,Bank A,Kaduna,OND/HND,Civil/Public Servant,No,,
17576,38,25000,2,2,6,0,0,30,20,60,20,20,20,3,36-40,"Below N50,000",Bank L,Male,Bank A,Kaduna,OND/HND,Civil/Public Servant,No,,
17577,38,25000,1,2,6,0,0,30,20,30,20,20,20,0,36-40,"Below N50,000",Bank A,Male,Bank A,Kaduna,OND/HND,Civil/Public Servant,No,,
17578,25.5,25000,5,0.5,2,0,0.5,100,40,40,20,20,10,3,21-30,"Below N50,000",Bank L,Female,Bank L,Kaduna,Bachelor's Decree,Student,No,,
17580,25.5,25000,2,0.5,6,0,0,56,16,18,48,24,9,3,21-30,"Below N50,000",Bank E,Male,Bank E,Kaduna,Bachelor's Decree,Student,Yes,Bank E,Bank H
17581,25.5,25000,3,0.5,2,0,0,10,20,10,20,20,10,0,21-30,"Below N50,000",Bank Q,Female,Bank Q,Kaduna,Bachelor's Decree,Student,No,,
17582,33,75000,10,2,6,0,0,32,17,33,18,20,8,0,31-35,"N50,000 - N100,000",Bank B,Male,Bank C,Kaduna,Bachelor's Decree,Civil/Public Servant,No,,
17583,33,75000,4,2,6,0,0,22,17,55,18,20,8,0,31-35,"N50,000 - N100,000",Bank C,Male,Bank C,Kaduna,Bachelor's Decree,Civil/Public Servant,No,,
17584,25.5,25000,2,2,2,0,0,28,14,21,14,14,7,0,21-30,"Below N50,000",Bank J,Male,Bank J,Kaduna,Bachelor's Decree,Student,No,,
17587,25.5,25000,4,0.5,6,0,0,40,32,32,16,16,8,0,21-30,"Below N50,000",Bank N,Female,Bank N,Kaduna,Bachelor's Decree,Student,No,,
17588,25.5,25000,3,0.5,2,0,0,90,20,60,20,20,10,3,21-30,"Below N50,000",Bank H,Female,Bank H,Kaduna,Bachelor's Decree,Student,No,,
17591,33,25000,2,0.5,0.5,0,0,58,20,29,16,16,8,0,31-35,"Below N50,000",Bank C,Female,Bank C,Kaduna,Bachelor's Decree,Student,No,,
17592,25.5,25000,1,0.5,2,0,0,62,36,80,11,14,8,3,21-30,"Below N50,000",Bank M,Male,Bank M,Kaduna,Bachelor's Decree,Student,No,,
17593,33,25000,3,2,2,0,0,40,30,85,18,40,20,3,31-35,"Below N50,000",Bank L,Female,Bank L,Kaduna,Bachelor's Decree,Private Sector Employee,No,,
17594,33,25000,5,2,2,0,0,20,40,75,18,40,20,3,31-35,"Below N50,000",Bank G,Female,Bank L,Kaduna,Bachelor's Decree,Private Sector Employee,No,,
17596,25.5,25000,6,0.5,0.5,0.5,0,10,20,85,20,20,10,0,21-30,"Below N50,000",Bank Q,Male,Bank Q,Kaduna,Bachelor's Decree,Student,No,,
17597,25.5,25000,4,0.5,2,0.5,0,34,17,45,8,28,10,0,21-30,"Below N50,000",Bank G,Female,Bank F,Kaduna,Bachelor's Decree,Student,No,,
17598,25.5,25000,2,0.5,2,0.5,0,30,26,54,8,19,10,0,21-30,"Below N50,000",Bank F,Female,Bank F,Kaduna,Bachelor's Decree,Student,No,,
17599,33,25000,8,2,2,0,0,20,50,70,10,20,10,3,31-35,"Below N50,000",Bank D,Male,Bank D,Kaduna,OND/HND,Self Employed,No,,
17613,25.5,25000,3,2,2,0.5,0.5,9,14,45,18,0,0,0,21-30,"Below N50,000",Bank G,Male,Bank G,Kaduna,Secondary school leaving certificate,Private Sector Employee,No,,
17618,33,25000,5,0.5,2,0.5,0.5,14,18,99,0,27,0,0,31-35,"Below N50,000",Bank K,Female,Bank K,Kaduna,OND/HND,Self Employed,No,,
17620,38,25000,6,2,0.5,0,0.5,18,40,11,11,4,6,0,36-40,"Below N50,000",Bank D,Female,Bank D,Kaduna,Secondary school leaving certificate,Self Employed,No,,
